Drug,Slang
Marijuana,Pine
Marijuana,Platinum Cookies (hydroponic)
Marijuana,Platinum Jack
Marijuana,Pocket Rocket
Marijuana,Popcorn
Marijuana,Pot
Marijuana,Pretendo
Marijuana,Puff
Marijuana,Purple Haze
Marijuana,Queen Ann’s Lace
Marijuana,Ragweed
Marijuana,Railroad Weed
Marijuana,Rainy Day Woman
Marijuana,Rasta Weed
Marijuana,Red Cross
Marijuana,Red Dirt
Marijuana,Reefer
Marijuana,Reggie
Marijuana,Repollo
Marijuana,Righteous Bush
Marijuana,Root
Marijuana,Rope
Marijuana,Rosa Maria
Marijuana,Salt & Pepper
Marijuana,Santa Marta
Marijuana,Sasafras
Marijuana,Sativa
Marijuana,Sinsemilla
Marijuana,Shmagma
Marijuana,Shora
Marijuana,Shrimp
Marijuana,Shwag
Marijuana,Skunk
Marijuana,Skywalker (hydroponic)
Marijuana,Smoke
Marijuana,Smoochy Woochy Poochy
Marijuana,Smoke
Marijuana,Smoke Canada
Marijuana,Spliff
Marijuana,Stems
Marijuana,Stink Weed
Marijuana,Sugar Weed
Marijuana,Sweet
Marijuana,Lucy
Marijuana,Tahoe (hydroponic)
Marijuana,Tex-Mex
Marijuana,Texas Tea
Marijuana,Tila
Marijuana,Tims
Marijuana,Tosca
Marijuana,Trees
Marijuana,Tweeds
Marijuana,Wacky Tobacky
Marijuana,Wake and
Marijuana,Bake
Marijuana,Weed
Marijuana,Weed Tea
Marijuana,Wet (mixed with PCP)
Marijuana,Wheat
Marijuana,White-Haired Lady
Marijuana,Wooz
Marijuana,Yellow Submarine
Marijuana,Yen
Marijuana,Pop
Marijuana,Yerba
Marijuana,Yesca
Marijuana,Young Girls
Marijuana,Zacate
Marijuana,Zacatecas
Marijuana,Zambi
Marijuana,Zoom (mixed with PCP)
Marijuana,Marijuana Concentrates
Marijuana,246
Marijuana,BHO
Marijuana,Badder
Marijuana,Budder
Marijuana,Butter
Marijuana,Dabs
Marijuana,Ear Wax
Marijuana,Errl
Marijuana,Honey Oil
Marijuana,SAP
Marijuana,Shatter
Marijuana,Wax
MDMA,Adam
MDMA,Baby Slits
MDMA,Bean
MDMA,Blue Kisses
MDMA,Booty Juice (dissolved in liquid)
MDMA,Candy
MDMA,Chocolate Chips
MDMA,Clarity
MDMA,Dancing Shoes
MDMA,Decadence
MDMA,Doctor
MDMA,Domex (mixed with PCP)
MDMA,E
MDMA,E-Bomb
MDMA,Ecstasy
MDMA,Essence
MDMA,Eve
MDMA,Kleenex
MDMA,Love Doctor
MDMA,Love Drug
MDMA,Love Potion #9
MDMA,Love Trip (mixed with mescaline)
MDMA,Molly
MDMA,Moon Rock
MDMA,Roll
MDMA,Rolling
MDMA,Running
MDMA,Scooby Snacks
MDMA,Skittle
MDMA,Slits
MDMA,Smartees
MDMA,Speed for Lovers
MDMA,Sweets
MDMA,Vitamin E
MDMA,X
MDMA,XTC
Mescaline,Big Chief
Mescaline,Blue Caps
Mescaline,Buttons
Mescaline,Cactus
Mescaline,Media Luna
Mescaline,Mescal
Mescaline,Mezcakuba
Mescaline,Moon
Mescaline,San Pedro
Mescaline,Topi
Mescaline,6
Mescaline,DEA Intelligence Report
Methamphetamine,Accordion
Methamphetamine,Aqua
Methamphetamine,Batu
Methamphetamine,Blue
Methamphetamine,Blue Bell Ice Cream
Methamphetamine,Beers
Methamphetamine,Bottles
Methamphetamine,Bud Light
Methamphetamine,Bump
Methamphetamine,Cajitas
Methamphetamine,Chalk
Methamphetamine,Chavalones
Methamphetamine,Chicken
Methamphetamine,Chicken Powder
Methamphetamine,Christine
Methamphetamine,Christy
Methamphetamine,Clear
Methamphetamine,Clothing Cleaner
Methamphetamine,Colorado Rockies
Methamphetamine,Crank
Methamphetamine,Cream
Methamphetamine,Cri-Cri
Methamphetamine,Crink
Methamphetamine,Crisco
Methamphetamine,Crypto
Methamphetamine,Crystal
Methamphetamine,Cuadros
Methamphetamine,Day
Methamphetamine,El Gata Diablo
Methamphetamine,Evil Sister
Methamphetamine,Eye Glasses
Methamphetamine,Fire
Methamphetamine,Fizz
Methamphetamine,Flowers
Methamphetamine,Food
Methamphetamine,Frio
Methamphetamine,G-Funk
Methamphetamine,Gifts
Methamphetamine,Girls
Methamphetamine,Glass
Methamphetamine,Go-Fast
Methamphetamine,Groceries
Methamphetamine,Hard Ones
Methamphetamine,Hare
Methamphetamine,Hawaiian Salt
Methamphetamine,Hielo
Methamphetamine,Hot Ice
Methamphetamine,Ice
Methamphetamine,Ice Cream
Methamphetamine,Jug of Water
Methamphetamine,L.A. Glass
Methamphetamine,L.A. Ice
Methamphetamine,Lemons
Methamphetamine,Lemon Drop
Methamphetamine,Light
Methamphetamine,Light Beige
Methamphetamine,Livianas
Methamphetamine,Madera
Methamphetamine,Meth
Methamphetamine,Mexican Crack
Methamphetamine,Mexican Crank
Methamphetamine,Miss Girl
Methamphetamine,Montura
Methamphetamine,Motor
Methamphetamine,Muchacha
Methamphetamine,Nails
Methamphetamine,One Pot
Methamphetamine,Pantalones
Methamphetamine,Peanut Butter Crank
Methamphetamine,Piñata
Methamphetamine,Pointy Ones
Methamphetamine,Pollito
Methamphetamine,Popsicle
Methamphetamine,Purple
Methamphetamine,Raspado
Methamphetamine,Rims
Methamphetamine,Salt
Methamphetamine,Shabu
Methamphetamine,Shards
Methamphetamine,Shatter
Methamphetamine,Shaved Ice
Methamphetamine,Shiny Girl
Methamphetamine,Soap Dope
Methamphetamine,Soft Ones
Methamphetamine,Spicy Kind
Methamphetamine,Stove Top
Methamphetamine,Stuff
Methamphetamine,Super Ice
Methamphetamine,Table
Methamphetamine,Tina
Methamphetamine,Truck
Methamphetamine,Tupperware
Methamphetamine,Ventanas
Methamphetamine,Vidrio
Methamphetamine,Walking Zombie
Methamphetamine,Water
Methamphetamine,White
Methamphetamine,Windows
Methamphetamine,Witches Teeth
Methamphetamine,Yellow
Methamphetamine,Barn
Methamphetamine,Yellow Kind
Methamphetamine,Zip
Mushrooms,Alice
Mushrooms,Boomers
Mushrooms,Buttons
Mushrooms,Caps
Mushrooms,Champiñones
Mushrooms,Hongos
Mushrooms,Magic
Mushrooms,Mushies
Mushrooms,Pizza Toppings
Mushrooms,Shrooms
Mushrooms,Tweezes
Opium,Auntie
Opium,Aunt Emma
Opium,Big O
Opium,Black
Opium,Black Russian (mixed with hashish)
Opium,Chandoo
Opium,China
Opium,Chinese Molasses
Opium,Chinese Tobacco
Opium,Chocolate
Opium,Cruz
Opium,Dopium
Opium,Dover’s Powder
Opium,Dream Gum
Opium,Dream Stick
Opium,Dreams
Opium,Easing
Opium,Powder
Opium,God’s Medicine
Opium,Goma
Opium,Gondola
Opium,Goric
Opium,Great Tobacco
Opium,Gum
Opium,Hocus
Opium,Hops
Opium,Incense
Opium,Joy Plant
Opium,Midnight Oil
Opium,Opio
Opium,Pen Yan
Opium,Pin Gon
Opium,Pin Yen
Opium,Pox
Opium,Skee
Opium,Toxy
Opium,Toys
Opium,When-Shee
Opium,Zero
Oxycodone,30s
Oxycodone,40s
Oxycodone,Beans
Oxycodone,Blues
Oxycodone,Buttons
Oxycodone,Greens
Oxycodone,OC
Oxycodone,Oxy
Oxycodone,Whites
PCP,Ace
PCP,Alien Sex Fiend (mixed with heroin)
PCP,Amoeba
PCP,Angel
PCP,Angel Dust
PCP,Angel Hair
PCP,Angel Mist
PCP,Angel Poke
PCP,Animal Tranquilizer
PCP,Aurora Borealis
PCP,Black Acid (mixed with LSD)
PCP,Black Whack
PCP,Blue Madman
PCP,Blue Star
PCP,Boat
PCP,Busy Bee
PCP,Butt Naked
PCP,Cadillac
PCP,Cliffhanger
PCP,Columbo
PCP,Cozmos
PCP,Crazy Coke
PCP,Crazy Eddie
PCP,Cucuy
PCP,Cyclones
PCP,Detroit Pink
PCP,Dipper
PCP,Domex (mixed with MDMA)
PCP,Dummy Dust
PCP,Dust
PCP,Dust Joint
PCP,Dust of Angels
PCP,Elephant
PCP,Elephant Tranquilizer
PCP,Embalming Fluid
PCP,Energizer
PCP,Fake STP
PCP,Flakes
PCP,Goon
PCP,Gorilla Tab
PCP,Gorilla
PCP,Biscuits
PCP,Green Leaves
PCP,Green Tea
PCP,Heaven & Hell
PCP,Hog
PCP,Horse Tracks
PCP,Horse Tranquilizers
PCP,Jet Fuel
PCP,Juice
PCP,Kaps
PCP,K-Blast
PCP,Killer
PCP,Kools
PCP,Leaky Leak
PCP,Lemon 714
PCP,Lethal Weapon
PCP,Love Boat
PCP,Mad Dog
PCP,Mad Man
PCP,Magic
PCP,Dust
PCP,Mean Green
PCP,Mint Leaf
PCP,Mint Weed
PCP,Mist
PCP,Monkey Dust
PCP,Monkey Tranquilizer
PCP,New Acid
PCP,New Magic
PCP,Orange Crystal
PCP,Ozone
PCP,Paz
PCP,Peace Pill
PCP,Peep
PCP,Peter Pan
PCP,Pig Killer
PCP,Puffy
PCP,Purple Rain
PCP,Red Devil
PCP,Rocket
PCP,Fuel
PCP,Rupture
PCP,Scuffle
PCP,Sheets
PCP,Sherms
PCP,Shermstick
PCP,Space (mixed with cocaine)
PCP,Spores
PCP,Stardust
PCP,STP
PCP,Super Grass
PCP,Super Kools
PCP,Surfer
PCP,Synthetic Cocaine
PCP,Taking a Cruise
PCP,T-Buzz
PCP,Tic Tac
PCP,Tish
PCP,Trank
PCP,Venom
PCP,Wack (mixed with cocaine)
PCP,Water
PCP,Wet
PCP,White Horizon
PCP,Wobble Weed
PCP,Wolf
PCP,Worm
PCP,Yellow Fever
PCP,Zombie
PCP,Zoom (mixed with marijuana)
PCP,Percocet®(Acetaminophen and Oxycodone)
PCP,512s
PCP,Bananas
PCP,Blue
PCP,Blueberries
PCP,Buttons
PCP,Ercs
PCP,Greenies
PCP,Hillbilly Heroin
PCP,Kickers
PCP,M-30s
PCP,Percs
PCP,Rims
PCP,Tires
